APIS (Demisto Class),,Common Server Python,,XSOAR 8 API ,,,XSOAR 6 API,,
,,assign_params,,,,,Get latest report by ID,/report/{id}/latest,
,,auto_detect_indicator_type,,,,,Execute report,/report/{id}/{requestId}/execute,
,,aws_table_to_markdown,,,,,Get all reports,/reports,
,,b64_encode,,,,,Upload a report to Cortex XSOAR,/reports/upload,
,,batch,,,,,Get report by ID,/reports/{id},
,,build_dbot_entry,,,,,Get Audits,/settings/audits,
,,build_malicious_dbot_entry,,,,,Get Docker Images,/settings/docker-images,
,,calculate_new_offset,,,,,Create Image,/settings/docker-images,
,,camel_case_to_underscore,,,,,Upload an integration,/settings/integration-conf/upload,
,,camelize,,,,,Reset ROI widget,/statistics/application/roi,
,,camelize_string,,,,,[Deprecated] Get Dashboard Statistics,/statistics/dashboards/query,
,,convert_dict_values_bytes_to_str,,,,,[Deprecated] Get Widget Statistics,/statistics/widgets/query,
,,createContext,,,,,getUnit42IndicatorHandler,/unit42intel/indicator,
,,createContextSingle,,,,,samplesSearchHandler,/unit42intel/samples/search,
,,create_clickable_url,,,,,sessionsSearchHandler,/unit42intel/sessions/search,
,,create_indicator_result_with_dbotscore_unknown,,,,,Complete a task,/v2/inv-playbook/task/complete,
,,create_updated_last_run_object,,,,,Complete a task,/v2/inv-playbook/task/form/submit,
,,date_to_timestamp,,,,,Get Dashboard Statistics,/v2/statistics/dashboards/query,
,,datetime_to_string,,,,,Get Widget Statistics,/v2/statistics/widgets/query,
,,detect_file_indicator_type,,,,,getAllWidgets,/widgets,
,,dict_safe_get,,,,,Add or update a widget,/widgets,
,,elem2json,,,,,Import a widget,/widgets/import,
,,elem_to_internal,,,,,Get widget by ID,/widgets/{id},
,,encode_string_results,,,,,Remove existing widget,/widgets/{id},
,,ensure_proxy_has_http_prefix,,,,,Get workers status,/workers/status,
,,execute_command,,,,,,,
,,fileResult,,,,,,,
,,file_result_existing_file,,,,,,,
,,filter_incidents_by_duplicates_and_limit,,,,,,,
,,fix_traceback_line_numbers,,,,,,,
,,flattenCell,,,,,,,
,,flattenRow,,,,,,,
,,flattenTable,,,,,,,
,,formatAllArgs,,,,,,,
,,formatCell,,,,,,,
,,formatEpochDate,,,,,,,
,,get_current_time,,,,,,,
,,get_demisto_version_as_str,,,,,,,
,,get_error,,,,,,,
,,get_feed_last_run,,,,,,,
,,get_fetch_run_time_range,,,,,,,
,,get_found_incident_ids,,,,,,,
,,get_hash_type,,,,,,,
,,get_integration_context,,,,,,,
,,get_integration_context_with_version,,,,,,,
,,get_integration_instance_name,,,,,,,
,,get_integration_name,,,,,,,
,,get_last_mirror_run,,,,,,,
,,get_latest_incident_created_time,,,,,,,
,,get_message_classes_dump,,,,,,,
,,get_message_global_vars,,,,,,,
,,get_message_local_vars,,,,,,,
,,get_message_memory_dump,,,,,,,
,,get_message_modules_sizes,,,,,,,
,,get_message_threads_dump,,,,,,,
,,get_pack_version,,,,,,,
,,get_schedule_metadata,,,,,,,
,,get_script_name,,,,,,,
,,get_size_of_object,,,,,,,
,,get_tenant_account_name,,,,,,,
,,get_x_content_info_headers,,,,,,,
,,handle_proxy,,,,,,,
,,has_passed_time_threshold,,,,,,,
,,hash_djb2,,,,,,,
,,indicators_value_to_clickable,,,,,,,
,,internal_to_elem,,,,,,,
,,isCommandAvailable,,,,,,,
,,is_debug_mode,,,,,,,
,,is_demisto_version_ge,,,,,,,
,,is_error,,,,,,,
,,is_filename_valid,,,,,,,
,,is_integration_command_execution,,,,,,,
,,is_ip_valid,,,,,,,
,,is_ipv6_valid,,,,,,,
,,is_mac_address,,,,,,,
,,is_scheduled_command_retry,,,,,,,
,,is_versioned_context_available,,,,,,,
,,is_xsiam,,,,,,,
,,is_xsiam_or_xsoar_saas,,,,,,,
,,is_xsoar,,,,,,,
,,is_xsoar_hosted,,,,,,,
,,is_xsoar_on_prem,,,,,,,
,,is_xsoar_saas,,,,,,,
,,json2elem,,,,,,,
,,json2xml,,,,,,,
,,logger,,,,,,,
,,merge_lists,,,,,,,
,,parse_date_range,,,,,,,
,,parse_date_string,,,,,,,
,,pascalToSpace,,,,,,,
,,polling_function,,,,,,,
,,positiveFile,,,,,,,
,,positiveIp,,,,,,,
,,positiveUrl,,,,,,,
,,register_module_line,,,,,,,
,,register_signal_handler_profiling_dump,,,,,,,
,,remove_duplicates_from_list_arg,,,,,,,
,,remove_empty_elements,,,,,,,
,,remove_nulls_from_dictionary,,,,,,,
,,remove_old_incidents_ids,,,,,,,
